表2 2019年2月7天的功率预测结果,,,,,
起报时间,预报时间,实际功率(MW),问题二LSTM方法预测功率(MW),问题三未降尺度LSTM+XGBoost方法预测功率(MW),问题四降尺度LSTM+XGBoost方法预测功率(MW)
2019/02/25/00:00,2019/02/26/04:30,0,3.15,1.05,0.24
2019/02/25/00:00,2019/02/26/04:45,0,3.39,1.1,0.61
2019/02/25/00:00,2019/02/26/05:00,0,3.64,1.26,0.53
2019/02/25/00:00,2019/02/26/05:15,4,3.88,4.36,1.73
2019/02/25/00:00,2019/02/26/05:30,8,9.26,11.79,7.06
2019/02/25/00:00,2019/02/26/05:45,8,15.21,12.9,10.29
2019/02/25/00:00,2019/02/26/06:00,36,15.04,19.06,11.92
2019/02/25/00:00,2019/02/26/06:15,48,50.89,53.66,44.23
2019/02/25/00:00,2019/02/26/06:30,64,68.64,76.59,66.54
2019/02/25/00:00,2019/02/26/06:45,80,84.25,91.88,85.22
2019/02/25/00:00,2019/02/26/07:00,96,99.54,115.61,100.06
2019/02/25/00:00,2019/02/26/07:15,112,115.02,130.84,114.78
2019/02/25/00:00,2019/02/26/07:30,132,130.66,141.64,130.62
2019/02/25/00:00,2019/02/26/07:45,148,152.16,158.44,150.56
2019/02/25/00:00,2019/02/26/08:00,160,167.45,171.53,169.14
2019/02/25/00:00,2019/02/26/08:15,168,175.96,182.98,176.17
2019/02/25/00:00,2019/02/26/08:30,176,179.85,190.52,177.04
2019/02/25/00:00,2019/02/26/08:45,184,186.06,197.56,181.65
2019/02/25/00:00,2019/02/26/09:00,220,193.84,221.47,190.94
2019/02/25/00:00,2019/02/26/09:15,256,244.33,237.25,233.99
2019/02/25/00:00,2019/02/26/09:30,296,288.36,253.14,299.69
2019/02/25/00:00,2019/02/26/09:45,332,329.16,269.18,338.48
2019/02/25/00:00,2019/02/26/10:00,364,360.87,284.77,372.81
2019/02/25/00:00,2019/02/26/10:15,400,386.83,301.56,394.72
2019/02/25/00:00,2019/02/26/10:30,432,422.12,323.69,431.13
2019/02/25/00:00,2019/02/26/10:45,464,451,341.02,457.24
2019/02/25/00:00,2019/02/26/11:00,476,480.41,357.07,485.75
2019/02/25/00:00,2019/02/26/11:15,488,479.29,341.97,493.71
2019/02/25/00:00,2019/02/26/11:30,496,487.68,308.39,494.92
2019/02/25/00:00,2019/02/26/11:45,508,494.75,313.95,506.06
2019/02/25/00:00,2019/02/26/12:00,496,508.38,307.47,515.09
2019/02/25/00:00,2019/02/26/12:15,484,482.32,294.22,505.43
2019/02/25/00:00,2019/02/26/12:30,472,466.31,284.05,466.82
2019/02/25/00:00,2019/02/26/12:45,456,455.72,278.35,457.71
2019/02/25/00:00,2019/02/26/13:00,444,436.7,265.15,449.85
2019/02/25/00:00,2019/02/26/13:15,428,424.95,246.07,429.76
2019/02/25/00:00,2019/02/26/13:30,412,406.63,234.69,407.09
2019/02/25/00:00,2019/02/26/13:45,396,388.52,221.47,393.67
2019/02/25/00:00,2019/02/26/14:00,368,371.55,210.73,375.59
2019/02/25/00:00,2019/02/26/14:15,340,337.03,199.42,346.59
2019/02/25/00:00,2019/02/26/14:30,312,306.09,188.98,306.52
2019/02/25/00:00,2019/02/26/14:45,284,278.5,176.21,283.69
2019/02/25/00:00,2019/02/26/15:00,244,251.21,163.22,260.32
2019/02/25/00:00,2019/02/26/15:15,200,207.36,137.23,216.37
2019/02/25/00:00,2019/02/26/15:30,160,160.14,102.87,158.73
2019/02/25/00:00,2019/02/26/15:45,116,121.87,85.65,121.47
2019/02/25/00:00,2019/02/26/16:00,96,79.93,65.74,87.28
2019/02/25/00:00,2019/02/26/16:15,76,67.79,54.57,62.39
2019/02/25/00:00,2019/02/26/16:30,56,56.51,49.47,59.85
2019/02/25/00:00,2019/02/26/16:45,36,40.57,43.97,42.78
2019/02/25/00:00,2019/02/26/17:00,28,22,34.37,24.38
2019/02/25/00:00,2019/02/26/17:15,20,16.67,24.75,14.06
2019/02/25/00:00,2019/02/26/17:30,16,12.88,19.28,13.02
2019/02/25/00:00,2019/02/26/17:45,8,11.74,10.51,11.02
2019/02/25/00:00,2019/02/26/18:00,0,5.14,2.12,6.49
2019/02/25/00:00,2019/02/26/18:15,0,-3.41,1.21,1.59
